Method B,Metric,Value,Model,Task
EAP,Precision,0.43478260869565216,gpt2-small,gt
ACDC,Precision,0.5789473684210527,gpt2-small,gt
Edge Pruning,Precision,0.5263157894736842,gpt2-small,gt
Ours w/ th=0.2,Precision,0.4,gpt2-small,gt
EAP,Recall,0.8333333333333334,gpt2-small,gt
ACDC,Recall,0.9166666666666666,gpt2-small,gt
Edge Pruning,Recall,0.8333333333333334,gpt2-small,gt
Ours w/ th=0.2,Recall,1.0,gpt2-small,gt
EAP,F1-Score,0.5714285714285714,gpt2-small,gt
ACDC,F1-Score,0.7096774193548387,gpt2-small,gt
Edge Pruning,F1-Score,0.6451612903225806,gpt2-small,gt
Ours w/ th=0.2,F1-Score,0.5714285714285715,gpt2-small,gt
